"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Academy of Massage and Bodywork","1218 Pulaski Hwy Ste 324, Bear, Delaware 19701","www.massage-academy.com","< 2-year, Private for-profit","Less than one year certificate","Suburb: Large","No","73","73","100%","NA","2013-14","NA","Massage Therapy/Therapeutic Massage","451051","04130700"
"Dawn Career Institute LLC","3700 Lancaster Pike, Suite 105, Wilmington, Delaware 19805-1511","https://www.dawncareerinstitute.edu","< 2-year, Private for-profit","Less than one year certificate","Suburb: Large","No","111","111","73%","NA","2013-14","$18,876","Medical/Clinical Assistant","130873","03025800"
"Delaware College of Art and Design","600 N Market St, Wilmington, Delaware 19801-3007","www.dcad.edu","2-year, Private not-for-profit","Less than one year certificate|Associate's degree","City: Small","Yes","170","170","71%","NA","Fall 2013","$29,596","-","432524","04139800"
"Delaware Learning Institute of Cosmetology","32448 Royal Blvd. Suite A, Dagsboro, Delaware 19939","delawarecosmetology.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Town: Distant","No","54","54","52%","NA","2013-14","$15,943","Cosmetology/Cosmetologist, General","449472","03702300"
"Delaware State University","1200 N. Dupont Highway, Dover, Delaware 19901","www.desu.edu","4-year, Public","Less than one year certificate|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Small","Yes","4328","3993","43%","NA","Fall 2010","$12,221","-","130934","00142800"
"Delaware Technical Community College-Owens","Route 18, Seashore Highway PO Box 610, Georgetown, Delaware 19947","https://www.dtcc.edu/our-campuses/georgetown","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Town: Fringe","No","","","NA","NA","Fall 2010","NA","-","13090701","01172702"
"Delaware Technical Community College-Stanton/Wilmington","333 N. Shipley Street, Wilmington, Delaware 19801","https://www.dtcc.edu/our-campuses/wilmington","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Small","No","","","NA","NA","Fall 2010","NA","-","13090702","01172703"
"Delaware Technical Community College-Terry","100 Campus Drive, Dover, Delaware 19901","https://www.dtcc.edu/our-campuses/dover","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Small","No","14479","14479","13%","9%","Fall 2010","$7,003","-","130907","01172700"
"Goldey-Beacom College","4701 Limestone Rd, Wilmington, Delaware 19808","www.gbc.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","Yes","2063","698","68%","10%","Fall 2010","$15,718","-","130989","00142900"
"Hair Academy School of Barbering & Beauty","1013 South College Avenue, Newark, Delaware 19713-2305","hairacademysbb.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","25","25","90%","NA","2013-14","$11,109","Barbering/Barber","488262","04250300"
