"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Argosy University-Hawaii","1001 Bishop Street, Suite 400, Honolulu, Hawaii 96813","www.argosy.edu/Locations/state/Hawaii","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","972","466","0%","NA","Fall 2010","$17,638","-","366748","02179905"
"Brigham Young University-Hawaii","55-220 Kulanui Street, Laie, Hawaii 96762-1294","www.byuh.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","Town: Fringe","Yes","2866","2866","54%","NA","Fall 2010","$12,319","-","230047","00160600"
"Chaminade University of Honolulu","3140 Waialae Avenue, Honolulu, Hawaii 96816-1578","www.chaminade.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Large","Yes","2277","1680","57%","NA","Fall 2010","$18,660","-","141486","00160500"
"Hawaii Community College","1175 Manono Street, Hilo, Hawaii 96720-5096","www.hawaii.hawaii.edu","2-year, Public","One but less than two years certificate|Associate's degree","Town: Remote","No","2956","2956","21%","6%","Fall 2013","$8,982","-","383190","00525800"
"Hawaii Institute of Hair Design","1128 Nuuanu Avenue, Honolulu, Hawaii 96817-5195","www.hihdhawaii.net","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","84","84","76%","NA","2013-14","$12,538","Barbering/Barber","141608","02139500"
"Hawaii Medical College","1221 Kapiolani Boulevard PH35, Honolulu, Hawaii 96814-3518","www.hmi.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Large","No","517","517","100%","NA","Fall 2013","$18,350","-","460756","04182200"
"Hawaii Pacific University","1 Aloha Tower Drive, Honolulu, Hawaii 96813","https://www.hpu.edu/","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Large","Yes","4081","3436","42%","50%","Fall 2010","$27,245","-","141644","00727900"
"Honolulu Community College","874 Dillingham Blvd, Honolulu, Hawaii 96817-4505","www.honolulu.hawaii.edu","2-year, Public","One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","3903","3903","16%","20%","Fall 2013","$5,798","-","141680","00161200"
"Institute of Clinical Acupuncture & Oriental Med","100 N. Beretania Street, Suite 203B, Honolulu, Hawaii 96817","www.orientalmedicine.edu","4-year, Private for-profit","Master's degree","City: Large","No","50","","NA","NA","Fall 2010","NA","-","444699","03735300"
"Kapiolani Community College","4303 Diamond Head Road, Honolulu, Hawaii 96816-4421","https://www.kapiolani.hawaii.edu","2-year, Public","One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","7382","7382","18%","19%","Fall 2013","$5,816","-","141796","00161300"
