"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Abington Memorial Hospital Dixon School of Nursing","2500 Maryland Rd Ste 200, Willow Grove, Pennsylvania 19090-1284","www.amhdixonson.org","2-year, Private not-for-profit","Two but less than 4 years certificate","Suburb: Large","No","99","99","NA","NA","Fall 2013","NA","-","210456","00708700"
"Academy of Vocal Arts","1920 Spruce St, Philadelphia, Pennsylvania 19103-6685","www.avaopera.org","4-year, Private not-for-profit","Postbaccalaureate certificate","City: Large","No","28","","NA","NA","Fall 2010","NA","-","210508","03353300"
"Albright College","1621 N. 13th St., Reading, Pennsylvania 19612-5234","www.albright.edu","4-year, Private not-for-profit","One but less than two years certificate|Bachelor's degree|Master's degree","City: Small","Yes","2318","2304","54%","NA","Fall 2010","$24,888","-","210571","00322900"
"Allegheny College","520 N Main St, Meadville, Pennsylvania 16335-3902","www.allegheny.edu","4-year, Private not-for-profit","Bachelor's degree","Town: Distant","Yes","1920","1920","76%","NA","Fall 2010","$26,517","-","210669","00323000"
"All-State Career School-Allied Health Campus","50 W Powhattan Ave, Essington, Pennsylvania 19029","www.allstatecareer.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","378","378","55%","NA","Fall 2013","$24,417","-","474997","02495502"
"All-State Career School-Lester","501 Seminole St, Lester, Pennsylvania 19029","www.allstatecareer.edu","< 2-year, Private for-profit","Less than one year certificate","Suburb: Large","No","297","297","68%","NA","2013-14","$15,080","Truck and Bus Driver/Commercial Vehicle Operator and Instructor","210599","02495500"
"All-State Career School-Pittsburgh","1200 Lebanon Road, West Mifflin, Pennsylvania 15122","www.allstatecareer.edu/pitt.php","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","231","231","69%","NA","2013-14","$13,106","Truck and Bus Driver/Commercial Vehicle Operator and Instructor","418658","03493302"
"Altoona Beauty School Inc","1528 Valley View Blvd., Altoona, Pennsylvania 16602-6039","WWW.ALTOONABEAUTYSCHOOL.COM","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","45","45","63%","NA","2013-14","$17,243","Cosmetology/Cosmetologist, General","210748","02290400"
"Alvernia University","400 Saint Bernardine St, Reading, Pennsylvania 19607-1799","www.alvernia.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","Yes","2872","2323","53%","37%","Fall 2010","$24,675","-","210775","00323300"
"American College of Financial Services","270 S. Bryn Mawr Ave, Bryn Mawr, Pennsylvania 19010-2196","https://www.theamericancollege.edu","4-year, Private not-for-profit","Less than one year certificate|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","No","10521","9958","NA","NA","Fall 2010","NA","-","210809","03317300"
"Antonelli Institute","300 Montgomery Ave, Erdenheim, Pennsylvania 19038-8242","www.antonelli.edu","2-year, Private for-profit","Associate's degree","Suburb: Large","Yes","173","173","72%","3%","Fall 2013","$24,811","-","210890","00743000"
"Antonelli Medical and Professional Institute","1700 Industrial Highway, Pottstown, Pennsylvania 19464","www.ampi.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Midsize","No","94","94","41%","NA","2013-14","$19,473","Medical/Clinical Assistant","250072","03067000"
"Arcadia University","450 S Easton Rd, Glenside, Pennsylvania 19038-3295","https://www.arcadia.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","3785","2473","61%","31%","Fall 2010","$27,471","-","211088","00323500"
"Aria Health School of Nursing","Three Neshaminy Interplex, Trevose, Pennsylvania 19053-6939","www.ariahealth.org/default.aspx?pageid=3330","2-year, Private not-for-profit","Two but less than 4 years certificate","Suburb: Large","No","237","237","80%","NA","Fall 2013","$20,015","-","212568","00972300"
"Automotive Training Center-Exton","114 Pickering Way, Exton, Pennsylvania 19341-1310","www.autotraining.edu","2-year, Private for-profit","One but less than two years certificate|Two but less than 4 years certificate","Suburb: Large","No","349","349","64%","NA","Fall 2013","$10,931","Automobile/Automotive Mechanics Technology/Technician","211006","01162100"
"Automotive Training Center-Warminster","900 Johnsville Blvd, Warminster, Pennsylvania 18974","www.autotraining.edu","2-year, Private for-profit","One but less than two years certificate|Two but less than 4 years certificate","Suburb: Large","No","277","277","56%","NA","Fall 2013","$12,770","Automobile/Automotive Mechanics Technology/Technician","448770","01162101"
"Aviation Institute of Maintenance-Philadelphia","3001 Grant Avenue, Philadelphia, Pennsylvania 19114-1018","www.aviationmaintenance.edu","2-year, Private for-profit","Less than one year certificate|Two but less than 4 years certificate","City: Large","No","306","306","62%","NA","Fall 2013","$22,141","-","250285","03110700"
"Baltimore School of Massage-York","170 Red Rock Road, York, Pennsylvania 17402-8046","www.steinered.com/","< 2-year, Private for-profit","Less than one year certificate","Suburb: Midsize","No","77","77","62%","NA","2013-14","$20,475","Massage Therapy/Therapeutic Massage","469586","03296301"
"Barber School of Pittsburgh","143 Steuben St, Pittsburgh, Pennsylvania 15220","bsp.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","66","66","50%","NA","2013-14","$17,147","Barbering/Barber","483054","04224600"
"Barber School of Pittsburgh - Ambridge","413 Merchant Street, Ambridge, Pennsylvania 15003-0000","www.bsp.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","","","NA","NA","2013-14","NA","Barbering/Barber","48305401","04224601"
"Beaver Falls Beauty Academy","720 13th St, Beaver Falls, Pennsylvania 15010-4208","bfbeauty.com/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","38","38","71%","NA","2013-14","$14,015","Cosmetology/Cosmetologist, General","215336","01191900"
"Bella Capelli Academy","151 Wyngate Drive, Monroeville, Pennsylvania 15146-2388","monroeville.paulmitchell.edu/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","214","214","74%","NA","2013-14","$13,053","Cosmetology/Cosmetologist, General","461193","04151700"
"Berks Career & Technology Center","1057 County Road, Leesport, Pennsylvania 19533-9112","www.berkscareer.com","< 2-year, Public","One but less than two years certificate","Suburb: Large","No","47","47","27%","NA","2013-14","$9,517","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician","481021","04041300"
"Berks Technical Institute","2205 Ridgewood Rd, Wyomissing, Pennsylvania 19610-1168","www.berks.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","895","895","44%","NA","Fall 2013","$16,079","-","213534","02253900"
"Biblical Theological Seminary","200 N Main St, Hatfield, Pennsylvania 19440","www.biblical.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree","Suburb: Large","Yes","255","","NA","NA","Fall 2010","NA","-","211130","02323000"
"Bidwell Training Center Inc","1815 Metropolitan St, Pittsburgh, Pennsylvania 15233","www.bidwelltraining.edu","2-year, Private not-for-profit","One but less than two years certificate|Associate's degree","City: Large","No","152","152","71%","NA","Fall 2013","$3,676","Applied Horticulture/Horticulture Operations, General","211149",""
