"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Academy of Hair Design-Oklahoma City","11920 N May Ave, Oklahoma City, Oklahoma 73120","www.academyofhairdesignok.com","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","57","57","75%","NA","2013-14","$12,726","Cosmetology/Cosmetologist, General","455929","04144400"
"Academy of Salon and Spa -","3040 South Muskogee, Suite 105, Tahlequah, Oklahoma 74464-5485","www.academysalonspa.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Town: Remote","No","","","NA","NA","2013-14","NA","Cosmetology/Cosmetologist, General","10729301","01074101"
"American Broadcasting School-Oklahoma City","4511 SE 29th St, Oklahoma City, Oklahoma 73115","www.radioschool.com","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","23","23","78%","NA","2013-14","$10,838","Radio and Television","206783","03030800"
"American Broadcasting School-Online Program","4511 SE 29th St, Oklahoma City, Oklahoma 73115","radioschoolonline.com/homechat.htm","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","85","85","83%","NA","2013-14","$10,499","Radio and Television","475255","03030800"
"American Institute of Medical Technology","4500 S. Garnett Rd. Suite 110, Tulsa, Oklahoma 74146","www.aimt.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","96","96","45%","NA","2013-14","$9,712","Diagnostic Medical Sonography/Sonographer and Ultrasound Technician","449728","04060300"
"Autry Technology Center","1201 W Willow, Enid, Oklahoma 73703-2506","autrytech.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","Town: Remote","No","628","628","71%","NA","Fall 2013","$4,577","Licensed Practical/Vocational Nurse Training","365213","00834300"
"Bacone College","2299 Old Bacone Rd, Muskogee, Oklahoma 74403-1597","www.bacone.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","Town: Distant","Yes","990","990","9%","53%","Fall 2010","$25,029","-","206817","00314700"
"Beauty Technical College Inc","605  E. Downing Street, Tahlequah, Oklahoma 74465","www.beautytechnicalcollege.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Town: Remote","No","24","24","77%","NA","2013-14","$6,845","Cosmetology/Cosmetologist, General","207272","02510300"
"Broken Arrow Beauty College-Broken Arrow","400 S Elm Pl Ste C, Broken Arrow, Oklahoma 74012","www.babeautycollege.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","55","55","78%","NA","2013-14","$12,356","Cosmetology/Cosmetologist, General","206880","02256200"
"Broken Arrow Beauty College-Tulsa","11122 E 71st St, Tulsa, Oklahoma 74133","www.babeautycollege.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","72","72","82%","NA","2013-14","$10,041","Cosmetology/Cosmetologist, General","448424","02256201"
"Brown Mackie College-Oklahoma City","7101 NW Expressway, Suite 800, Oklahoma City, Oklahoma 73132","www.brownmackie.edu/locations/oklahoma-city","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","124","124","NA","NA","Fall 2010","NA","-","475042","00675506"
"Brown Mackie College-Tulsa","4608 S Garnett Rd Ste 110, Tulsa, Oklahoma 74146","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","City: Large","No","250","250","30%","NA","Fall 2010","NA","-","455619","04051324"
"Caddo Kiowa Technology Center","1415 N. 7th Street, Fort Cobb, Oklahoma 73038-0190","www.mycktc.com","< 2-year, Public","Less than one year certificate|One but less than two years certificate","Rural: Remote","No","470","470","51%","3%","2013-14","$8,018","Cosmetology/Cosmetologist, General","364946","00996300"
"Cameron University","2800 West Gore Blvd, Lawton, Oklahoma 73505-6377","www.cameron.edu","4-year, Public","Associate's degree|Bachelor's degree|Master's degree","City: Small","Yes","4846","4444","19%","26%","Fall 2010","$9,093","-","206914","00315000"
"Canadian Valley Technology Center","6505 E Hwy 66, El Reno, Oklahoma 73036-9117","www.cvtech.edu","< 2-year, Public","Less than one year certificate|One but less than two years certificate","Rural: Distant","No","1425","1425","55%","NA","2013-14","$3,342","Licensed Practical/Vocational Nurse Training","365374","00996500"
