"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Alabama A & M University","4900 Meridian Street, Normal, Alabama 35762","www.aamu.edu/","4-year, Public","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Midsize","Yes","5859","4851","27%","38%","Fall 2010","$15,547","-","100654","00100200"
"Alabama College of Osteopathic Medicine","445 Health Sciences Boulevard, Dothan, Alabama 36303-2251","www.acomedu.org/","4-year, Private not-for-profit","Doctor's degree - professional practice","Rural: Fringe","No","605","","NA","NA","Fall 2010","NA","-","483975","04226700"
"Alabama School of Nail Technology & Cosmetology","202 Commerce Street, Jackson, Alabama 36545-2718","www.alabamaschoolofnailtechnology.com","< 2-year, Private for-profit","One but less than two years certificate","Town: Remote","No","17","17","NA","NA","2013-14","NA","Cosmetology/Cosmetologist, General","488916","04255500"
"Alabama Southern Community College","2800 South Alabama Avenue, Monroeville, Alabama 36460","www.coastalalabama.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","No","1362","1362","36%","NA","Fall 2013","$4,183","-","101949","00103400"
"Alabama State College of Barber Styling","753 Main Street, Gardendale, Alabama 35071","www.ascbs.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","13","13","57%","NA","2013-14","$2,872","Barbering/Barber","371034","03032500"
"Alabama State University","915 S Jackson Street, Montgomery, Alabama 36104-0271","www.alasu.edu","4-year, Public","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","5318","4727","22%","NA","Fall 2010","$12,796","-","100724","00100500"
"Amridge University","1200 Taylor Rd, Montgomery, Alabama 36117-3553","www.amridgeuniversity.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Midsize","No","597","294","25%","75%","Fall 2010","$7,138","-","100690","02503400"
"Athens State University","300 N Beaty St, Athens, Alabama 35611","www.athens.edu","4-year, Public","Bachelor's degree|Master's degree","Town: Fringe","No","3063","3025","NA","NA","Fall 2010","NA","-","100812","00100800"
"Auburn University","Auburn, Alabama 36849","www.auburn.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Small","Yes","28290","22658","75%","18%","Fall 2010","$21,698","-","100858","00100900"
"Auburn University at Montgomery","7440 East Drive, Montgomery, Alabama 36117-3596","www.aum.edu","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Midsize","Yes","4878","4273","23%","54%","Fall 2010","$14,518","-","100830","00831000"
"Bevill State Community College","1411 Indiana Avenue, Jasper, Alabama 35501","www.bscc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Distant","Yes","3806","3806","22%","19%","Fall 2013","$7,379","-","102429","00573300"
"Birmingham Southern College","900 Arkadelphia Road, Birmingham, Alabama 35254","www.bsc.edu/","4-year, Private not-for-profit","Bachelor's degree","City: Midsize","Yes","1293","1293","68%","32%","Fall 2010","$24,630","-","100937","00101200"
"Bishop State Community College","351 North Broad Street, Mobile, Alabama 36603-5898","www.bishop.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Midsize","No","3028","3028","15%","9%","Fall 2013","$4,768","-","102030","00103000"
"Blue Cliff Career College","2970 Cottage Hill Rd., Suite 175, Mobile, Alabama 36606","www.blue.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","68","68","63%","NA","2013-14","$19,257","Cosmetology/Cosmetologist, General","444440","03783300"
"Brown Mackie College-Birmingham","105 Vulcan Road, Suite 100, Birmingham, Alabama 35209-4701","www.brownmackie.edu/locations/birmingham","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","280","280","NA","NA","Fall 2010","NA","-","470162","00675508"
"Cardiac and Vascular Institute of Ultrasound","2936 North McVay Drive, Mobile, Alabama 36606","www.ultrasound.edu","2-year, Private for-profit","One but less than two years certificate|Two but less than 4 years certificate","City: Midsize","No","44","44","NA","NA","Fall 2013","NA","-","455707","04066300"
"Central Alabama Community College","1675 Cherokee Rd, Alexander City, Alabama 35010","www.cacc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Distant","No","1769","1769","22%","24%","Fall 2013","$8,920","-","100760","00100700"
